tweet_id,text,rating_numerator,rating_denominator,name,stage,month,year,tweet_url,retweet_count,favourite_count,img_num,p1,p1_dog,p2,p2_dog,p3,p3_dog
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13,13,10,Phineas,,8,2017,https://t.co/MgUWQ76dJU,8853,39467,1,Orange,False,Bagel,False,Banana,False
892177421306343426,This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not,13,10,Tilly,,8,2017,https://t.co/0Xxu71qeIV,6514,33819,1,Chihuahua,True,Pekinese,True,Papillon,True
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12,13,10,Archie,,7,2017,https://t.co/wUnZnhtVJB,4328,25461,1,Chihuahua,True,Malamute,True,Kelpie,True
891689557279858688,This is Darla. She commenced a snooze mid meal. 13,13,10,Darla,,7,2017,https://t.co/tD36da7qLQ,8964,42908,1,Paper Towel,False,Labrador Retriever,True,Spatula,False
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12",13,10,Franklin,,7,2017,https://t.co/AtUZn91f7f,9774,41048,2,Basset,True,English Springer,True,German Short-Haired Pointer,True
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h,13,10,None,,7,2017,https://t.co/kQ04fDDRmh,3261,20562,1,Chesapeake Bay Retriever,True,Irish Terrier,True,Indian Elephant,False
890971913173991426,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13,13,10,Jax,,7,2017,https://t.co/Zr4hWfAs1H,2158,12041,1,Appenzeller,True,Border Collie,True,Ice Lolly,False
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13,13,10,None,,7,2017,https://t.co/v0nONBcwxq,16716,56848,2,Pomeranian,True,Eskimo Dog,True,Pembroke,True
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13,13,10,Zoey,,7,2017,https://t.co/9TwLuAGH0b,4429,28226,1,Irish Terrier,True,Irish Setter,True,Chesapeake Bay Retriever,True
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14,13,10,Cassie,doggo,7,2017,https://t.co/t1bfwz5S2A,7711,32467,1,Pembroke,True,Cardigan,True,Chihuahua,True
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13,13,10,Koda,,7,2017,https://t.co/dVPW0B0Mme,7624,31166,1,Samoyed,True,Pomeranian,True,Chow,True
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13,13,10,Bruno,,7,2017,https://t.co/u1XPQMl29g,5156,28268,1,French Bulldog,True,Labrador Retriever,True,Muzzle,False
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13,13,10,None,puppo,7,2017,https://t.co/BxvuXk0UCm,8538,38818,1,Pembroke,True,Cardigan,True,Basenji,True
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12,13,10,Ted,,7,2017,https://t.co/f8dEDcrKSR,4735,27672,1,French Bulldog,True,Boxer,True,Staffordshire Bullterrier,True
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13,13,10,Stuart,puppo,7,2017,https://t.co/y70o6h3isq,2321,15359,1,Golden Retriever,True,Labrador Retriever,True,Redbone,True
889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13,13,10,Oliver,,7,2017,https://t.co/WpHvrQedPb,5637,25652,1,Whippet,True,Borzoi,True,Saluki,True
888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12,13,10,Jim,,7,2017,https://t.co/chxruIOUJN,4709,29611,1,Golden Retriever,True,Tibetan Mastiff,True,Labrador Retriever,True
888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13,13,10,Zeke,,7,2017,https://t.co/HTQ77yNQ5K,4559,26080,1,Golden Retriever,True,Labrador Retriever,True,English Setter,True
888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13,13,10,Ralphus,,7,2017,https://t.co/YnYAFCTTiK,3732,20290,3,Siberian Husky,True,Eskimo Dog,True,Malamute,True
888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h,13,10,Gerald,,7,2017,https://t.co/DK7iDPfuRX,3653,22201,1,French Bulldog,True,Pug,True,Bull Mastiff,True
887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13,13,10,Jeffrey,,7,2017,https://t.co/PhrUk20Q64,5609,30779,1,Basset,True,Redbone,True,Weimaraner,True
887517139158093824,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14,13,10,,,7,2017,https://t.co/20VrLAA8ba,12082,46959,1,Limousine,False,Tow Truck,False,Shopping Cart,False
887473957103951883,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13,13,10,Canela,,7,2017,https://t.co/cLyzpcUcMX,18781,69871,2,Pembroke,True,Rhodesian Ridgeback,True,Beagle,True
887343217045368832,You may not have known you needed to see this today. 13,13,10,None,,7,2017,https://t.co/WZqNqygEyV,10737,34222,1,Mexican Hairless,True,Sea Lion,False,Weimaraner,True
887101392804085760,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12,13,10,None,,7,2017,https://t.co/4Ad1jzJSdp,6167,31061,1,Samoyed,True,Eskimo Dog,True,Staffordshire Bullterrier,True
886983233522544640,This is Maya. She's very shy. Rarely leaves her cup. 13,13,10,Maya,,7,2017,https://t.co/I6oNy0CgiT,8084,35859,2,Chihuahua,True,Toy Terrier,True,Can Opener,False
886736880519319552,This is Mingus. He's a wonderful father to his smol pup. Confirmed 13,13,10,Mingus,,7,2017,https://t.co/bVi0Yr4Cff,3443,12306,1,Kuvasz,True,Great Pyrenees,True,Dandie Dinmont,True
886680336477933568,This is Derek. He's late for a dog meeting. 13,13,10,Derek,,7,2017,https://t.co/BCoWue0abA,4610,22798,1,Convertible,False,Sports Car,False,Car Wheel,False
886366144734445568,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12,13,10,Roscoe,pupper,7,2017,https://t.co/RGE08MIJox,3316,21524,1,French Bulldog,True,Chihuahua,True,Boston Bull,True
886258384151887873,This is Waffles. His doggles are pupside down. Unsure how to fix. 13,13,10,Waffles,,7,2017,https://t.co/xZDA9Qsq1O,6523,28469,1,Pug,True,Shower Cap,False,Siamese Cat,False
885984800019947520,Viewer discretion advised. This is Jimbo. He will rip ur finger right h,13,10,Jimbo,,7,2017,https://t.co/BuveP0uMF1,7097,33382,1,Blenheim Spaniel,True,Shih-Tzu,True,Bernese Mountain Dog,True
